,Obj,Start,End
0,Object3,220,224
1,Object3,227,235
2,Object3,237,251
3,Object3,255,263
4,Object3,269,271
5,Object3,274,274
6,Object3,288,289
7,Object3,292,293
8,Object3,295,298
9,Object3,300,301
10,Object3,336,344
11,Object3,364,368
12,Object3,375,376
13,Object3,381,381
14,Object3,2790,2869
15,Object3,2886,2892
16,Object3,2906,2906
17,Object3,2909,2909
18,Object3,2912,2924
19,Object3,2928,2929
20,Object3,2932,2933
21,Object3,2961,2961
22,Object3,2965,2965
23,Object3,2967,2969
24,Object3,2971,2971
25,Object3,2975,2976
26,Object3,2980,2983
27,Object3,2985,2985
28,Object3,2987,2987
29,Object3,2997,3002
30,Object3,3005,3005
31,Object3,3008,3009
32,Object3,3158,3162
33,Object3,3164,3166
34,Object3,3168,3170
35,Object3,3172,3172
36,Object3,3178,3181
37,Object3,3184,3186
38,Object3,3188,3189
39,Object5,439,439
40,Object5,443,444
41,Object5,447,456
42,Object5,458,463
43,Object5,476,476
44,Object5,483,486
45,Object5,488,507
46,Object5,509,509
47,Object5,513,542
48,Object5,544,548
49,Object5,1859,1860
50,Object5,1862,1862
51,Object5,1864,1864
52,Object5,1872,1875
53,Object5,1879,1879
54,Object5,1902,1914
55,Object5,1916,1916
56,Object5,1918,1920
57,Object5,1922,1922
58,Object5,1924,1924
59,Object5,1927,1927
60,Object5,1929,1930
61,Object5,1932,1934
62,Object5,1936,1936
63,Object5,1942,1942
64,Object5,1954,1955
65,Object5,1955,1956
66,Object5,1962,1962
67,Object2,594,619
68,Object2,1242,1259
69,Object2,1264,1612
70,Object2,1782,1782
71,Object2,1933,1933
72,Object2,3632,3632
73,Object2,3645,3647
74,Object1,4058,4059
75,Object1,4062,4066
76,Object1,4068,4084
77,Object1,4086,4178
78,Object1,4180,4180
79,Object1,4182,4183
80,Object1,4185,4185
81,Object1,4192,4192
82,Object1,4194,4195
83,Object1,4197,4209
