,Obj,Start,End
0,Object0,1,77
1,Object0,92,147
2,Object0,149,199
3,Object0,218,265
4,Object0,290,297
5,Object0,416,449
6,Object0,1467,1499
7,Object1,79,115
8,Object1,140,147
9,Object2,79,104
10,Object2,121,147
11,Object3,79,147
12,Object3,201,231
13,Object3,204,208
14,Object3,221,274
15,Object3,233,297
16,Object3,416,482
17,Object3,629,656
18,Object3,629,663
19,Object3,1079,1173
20,Object3,1079,1088
21,Object3,1220,1235
22,Object3,1238,1269
23,Object3,1254,1270
24,Object3,1286,1297
25,Object3,1467,1491
26,Object3,1494,1495
27,Object4,79,89
28,Object4,182,199
29,Object4,1299,1356
30,Object4,1358,1363
31,Object4,1365,1381
32,Object4,1390,1409
33,Object4,1467,1498
34,Object5,149,199
35,Object5,299,364
36,Object5,1467,1499
37,Object6,149,199
38,Object6,1467,1499
39,Object7,299,340
40,Object7,344,346
41,Object7,356,357
42,Object7,359,364
43,Object7,484,627
44,Object7,665,787
45,Object7,792,817
46,Object7,821,823
47,Object7,825,863
48,Object7,931,1075
49,Object7,1175,1218
50,Object7,1312,1325
51,Object7,1411,1465
52,Object7,1467,1499
53,Object8,366,414
54,Object9,509,519
55,Object11,1079,1173
56,Object11,1079,1173
57,Object12,1079,1173
58,Object13,1079,1173
59,Object14,1079,1173
60,Object14,1079,1173
61,Object15,1079,1173
62,Object16,1080,1173
63,Object17,1091,1099
64,Object17,1107,1114
65,Object17,1117,1124
66,Object17,1126,1173
67,Object18,1497,1499
